behavior,mean,max,search,create_search,edit_search,delete_search,win_opportunity,advance_stage,add_competitor,disqualify_opportunity,lose_opportunity,quote,create_opportunity,add_contact,edit_contact,add_lead,unsub_lead,edit_lead,email_lead,call_lead,create_list,delete_list,email_list,meeting,schedule_meeting,edit_meeting,cancel_meeting,users,win_opportunity_value,lose_opportunity_value
search,1,10,1,0.8,0.7,0.6,0.5,0.4,0.5,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
create_search,1,10,0.8,1,0.7,0.6,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
edit_search,1,10,0.7,0.7,1,0.6,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
delete_search,1,10,0.6,0.6,0.6,1,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
win_opportunity,2,40,0.5,0.5,0.4,0.3,1,0.7,0.7,0.5,0.6,0.6,0.6,0.3,0.3,0.3,0.3,0.3,0.5,0.5,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3
advance_stage,2,30,0.4,0.4,0.4,0.3,0.7,1,0.7,0.5,0.6,0.5,0.5,0.3,0.3,0.3,0.3,0.3,0.5,0.5,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3
add_competitor,3,50,0.5,0.4,0.3,0.3,0.7,0.7,1,0.5,0.6,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3
disqualify_opportunity,3,50,0.4,0.4,0.3,0.3,0.5,0.5,0.5,1,0.6,0.4,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
lose_opportunity,4,20,0.4,0.4,0.3,0.3,0.6,0.6,0.6,0.6,1,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
quote,3,30,0.4,0.4,0.3,0.3,0.6,0.5,0.4,0.4,0.3,1,0.75,0.3,0.3,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3
create_opportunity,9,90,0.5,0.4,0.3,0.3,0.6,0.5,0.4,0.5,0.3,0.75,1,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3
add_contact,2,20,0.5,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1,0.5,0.7,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3
edit_contact,3,50,0.5,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5,1,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3
